text,label
I followed my usual routine. I have been finding it difficult to stay focused. I am not sure how long I can keep this pace. I listened to music for a while. Nothing else really happened.,1
I spent some time in the library. I spent some time with my family. I think I handled the day reasonably well.,0
"At the moment, I have barely had time to switch off. I attended my morning classes. I went for a short walk.",1
I studied for an upcoming exam. I could focus without too much trouble. I feel okay about what I need to do next. I will try again tomorrow.,0
The day passed mostly between classes and assignments. I could focus without too much trouble. I am glad I got some time for myself. I tried to get some extra rest.,0
I finished one of my assignments. I managed my work without rushing.,0
I followed my usual routine. I was able to get things done. I think I can manage the remaining work. I spent some time with my family. I am hoping the next few days are better.,0
"Somehow, I spent some time in the library. I had enough energy to get through the day. I feel comfortable with how things are going.",0
I was able to concentrate. I am trying to maintain a balanced routine. I am just taking it one day at a time.,0
"To be honest, I had a decent amount of energy. I spent the evening studying. I watched something for a little while.",0
I was able to get things done. I think I can manage the remaining work. That was pretty much my day.,0
I revised some topics. I felt like I was keeping up. I was happy with the progress I made.,0
I stayed in my room after college. I have been thinking about college work constantly. I am not sure how to catch up.,1
I had a fairly busy schedule. I felt reasonably positive. I think I need to slow down a little.,0
I guess i worked on a presentation. I was able to take things at my own pace.,0
The day was mostly about college work. I felt fairly calm. I am trying to maintain a balanced routine. I took some time away from my laptop. I am hoping the next few days are better.,0
"Honestly, I spent some time in the library. I was able to get things done. I think I can manage the remaining work.",0
I have been finding it difficult to stay focused. I had some college work to finish. I got some fresh air.,1
I spent some time working and some time resting. I have not been able to relax properly. I just want my mind to slow down. I took a proper break.,1
"To be honest, The day passed mostly between classes and assignments. I managed my work without rushing. I feel okay about what I need to do next. I went for a short walk.",0
The day was mostly about college work. I had enough time to relax. I think I handled the day reasonably well. I went for a short walk.,0
I went through my project work. I managed my work without rushing. I think a good night's sleep will help. That was pretty much my day.,0
Most of my time went into studying. I was able to concentrate. I feel prepared for the next few days. I spent some time with my family.,0
I revised some topics. I have been finding it difficult to stay focused. I am not sure how long I can keep this pace.,1
I had a fairly busy schedule. I had enough energy to get through the day. I am trying to maintain a balanced routine. I took some time away from my laptop.,0
"Right now, I had a decent amount of energy. I think I can manage the remaining work.",0
I was satisfied with how the day went. I worked on some coding. I took some time away from my laptop.,0
I worked on a presentation. I took some time away from my laptop. I feel prepared for the next few days.,0
"For some reason, I revised some topics. I have been thinking about college work constantly. I am finding it difficult to get back into my routine.",1
"Lately, I have not had much energy lately. I am not sure how long I can keep this pace.",1
Most of my time went into studying. I was able to take things at my own pace. I am trying to maintain a balanced routine. I had a quiet evening. I am just taking it one day at a time.,0
Most of my time went into studying. I felt reasonably positive. I was happy with the progress I made. I took some time away from my laptop.,0
I stayed in my room after college. I was able to take things at my own pace. I think I can manage the remaining work.,0
I followed my usual routine. things have been harder to manage. I am not sure how long I can keep this pace. I got some fresh air.,1
